Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000215912,TTC34,0.00886220628161631,0.7854256717983992,0.338141282684175,0.004622509152256374,-0.7854256717983992,0.338141282684175
ENSG00000142611,PRDM16,0.0016766336208463286,-1.632426843087499,0.10935423933318895,0.005282867602578713,1.632426843087499,0.10935423933318895
ENSG00000162591,MEGF6,0.05772410037485217,2.3688985543790686,0.00000003010014687736435,0.010565735205157425,-2.3688985543790686,0.00000003010014687736435
ENSG00000238260,AL513320.1,0.0009580763547693306,-0.7255362474789795,0.868379072079435,0.0013207169006446782,0.7255362474789795,0.868379072079435
ENSG00000158109,TPRG1L,0.12215473523308966,0.4261531825142657,0.29212525776959386,0.09046910769416046,-0.4261531825142657,0.29212525776959386
ENSG00000116213,WRAP73,0.07089765025293047,-0.35670717762258963,0.3649931918157042,0.09046910769416046,0.35670717762258963,0.3649931918157042
ENSG00000078900,TP73,0.0038323054190773226,-0.18239392245245067,1,0.0039621507019340346,0.18239392245245067,1
ENSG00000227589,AL136528.1,0.00023951908869233266,-1.462501841645187,0.6872075460477104,0.0006603584503223391,1.462501841645187,0.6872075460477104
ENSG00000162592,CCDC27,0.00023951908869233266,-1.462501841645187,0.6872075460477104,0.0006603584503223391,1.462501841645187,0.6872075460477104
ENSG00000235169,SMIM1,0.01532922167630929,0.8594262532421766,0.30017189395146265,0.007924301403868069,-0.8594262532421766,0.30017189395146265
ENSG00000130764,LRRC47,0.12431040703132065,-0.4401340286167321,0.17688832215243874,0.16839140483219647,0.4401340286167321,0.17688832215243874
ENSG00000272153,AL365330.1,0.0009580763547693306,0.8594262532421766,0.7941788770712375,0,-0.8594262532421766,0.7941788770712375
ENSG00000116198,CEP104,0.18323210284963448,-0.031048379224911216,1,0.18688144144122196,0.031048379224911216,1
ENSG00000169598,DFFB,0.05796361946354451,0.5081143515737194,0.28452983282434485,0.040281865469662684,-0.5081143515737194,0.28452983282434485
ENSG00000198912,C1orf174,0.10371176540378005,-0.4013903273417996,0.24971149714162938,0.1366941992167242,0.4013903273417996,0.24971149714162938
ENSG00000236423,LINC01134,0.001437114532153996,-1.2401094203087393,0.3667808066847609,0.0033017922516116955,1.2401094203087393,0.3667808066847609
ENSG00000284668,LINC02780,0.00023951908869233266,-0.46250184164518693,1,0,0.46250184164518693,1
ENSG00000284703,AL805961.1,0.000718557266076998,-1.047464342366343,0.8250611224624828,0.0013207169006446782,1.047464342366343,0.8250611224624828
ENSG00000232596,LINC01646,0,-2.462501841645187,0.4684240072888307,0.0006603584503223391,2.462501841645187,0.4684240072888307
ENSG00000196581,AJAP1,0.002155671798230994,-1.7255362474789795,0.03846615573526824,0.00726394295354573,1.7255362474789795,0.03846615573526824
ENSG00000287586,Z98886.1,0.000718557266076998,0.5374981583548131,0.7941788770712375,0,-0.5374981583548131,0.7941788770712375
ENSG00000236948,AL365255.1,0.03041892426392625,3.952535657633658,0.00000002227727087887007,0.0013207169006446782,-3.952535657633658,0.00000002227727087887007
ENSG00000131697,NPHP4,0.0373649778360039,-1.0986184303164461,0.0008636880440843754,0.07990337248900303,1.0986184303164461,0.0008636880440843754
ENSG00000069424,KCNAB2,0.7930477026603134,-0.8531588947610056,0.0008908239311578885,1.432977837199476,0.8531588947610056,0.0008908239311578885
ENSG00000116254,CHD5,0.0026347099756156593,-0.46250184164518693,0.9752243581416888,0.0033017922516116955,0.46250184164518693,0.9752243581416888
ENSG00000116251,RPL22,12.634152890343163,0.7309991603009158,0.01167933526452043,7.6145932906668925,-0.7309991603009158,0.011679335264523086
ENSG00000226944,AL031847.1,0.0004790381773846653,0.12246065907596915,1,0,-0.12246065907596915,1
ENSG00000158286,RNF207,0.006227496306000649,-1.5655953346092897,0.003146473980213161,0.018490036609025495,1.5655953346092897,0.003146473980213161
ENSG00000116237,ICMT,0.03880209236815789,-1.2118057703746352,0.00013329864123109829,0.08980874924383812,1.2118057703746352,0.00013329864123109829
ENSG00000158292,GPR153,0.020119603450155944,-0.4106629101255681,0.4684240072888307,0.026414338012893564,0.4106629101255681,0.4684240072888307
ENSG00000097021,ACOT7,0.07137668843031514,-0.43817251228344567,0.26738780663203443,0.09641233374706151,0.43817251228344567,0.26738780663203443
ENSG00000271746,AL031848.2,0.013892107144155294,1.4201412077166546,0.0331704973013169,0.004622509152256374,-1.4201412077166546,0.0331704973013169
ENSG00000069812,HES2,0.0026347099756156593,-1.7844299365325496,0.035042471640063966,0.009245018304512747,1.7844299365325496,0.035042471640063966
ENSG00000187017,ESPN,0.00886220628161631,2.785425671798399,0.0021830322923645055,0.0006603584503223391,-2.785425671798399,0.0021830322923645055
ENSG00000215788,TNFRSF25,0.14586712501363058,3.62023858936275,0.0000000000000000001094516159601143,0.011226093655479765,-3.62023858936275,0.0000000000000000001094516159601143
ENSG00000171680,PLEKHG5,0.01724537438584795,1.405394622347468,0.01835164092791893,0.005943226052901052,-1.405394622347468,0.01835164092791893
ENSG00000162408,NOL9,0.4385594513956611,0.5661303117106105,0.08446834227717677,0.2958405857444079,-0.5661303117106105,0.08446834227717677
ENSG00000173662,TAS1R1,0.0059879772173083165,-1.2214937421413916,0.21053101655435943,0.013867527456769122,1.2214937421413916,0.21053101655435943
ENSG00000204859,ZBTB48,0.0747299556720078,-0.43926953540746894,0.21768164701315917,0.10103484289931788,0.43926953540746894,0.21768164701315917
ENSG00000162413,KLHL21,0.05029900862538986,-0.7857967722964547,0.015917314749596786,0.08650695699222642,0.7857967722964547,0.015917314749596786
ENSG00000116273,PHF13,0.01964056527277128,-1.0181997478611473,0.01507479160890477,0.03962150701934035,1.0181997478611473,0.01507479160890477
ENSG00000041988,THAP3,0.05748458128615984,0.007443998736047064,1,0.056790826727721164,-0.007443998736047064,1
ENSG00000007923,DNAJC11,0.21413006529094541,0.17331702906411994,0.7759989541387724,0.18952287524251132,-0.17331702906411994,0.7759989541387724
ENSG00000228750,LINC01672,0.00023951908869233266,-0.46250184164518693,1,0,0.46250184164518693,1
