Feature,Normalized.Dispersion
ENSMUSG00000043716,4.410638055522726
ENSMUSG00000025921,-0.5497197901216709
ENSMUSG00000100868,-1.4506292124060078
ENSMUSG00000025920,-1.826461517488692
ENSMUSG00000089982,-1.3912549731196382
ENSMUSG00000025939,-0.5652203744709133
ENSMUSG00000079658,0.015001903468996627
ENSMUSG00000097744,0.46040285173821993
ENSMUSG00000025940,-0.25323668445939784
ENSMUSG00000025779,1.6463155362332993
ENSMUSG00000101640,2.9701766746703377
ENSMUSG00000042686,0.746942980632922
ENSMUSG00000100110,11.116666788746466
ENSMUSG00000025777,-2.0698116228171703
ENSMUSG00000099899,-1.1274583404235512
ENSMUSG00000067780,-0.06945681044587548
ENSMUSG00000100053,-1.7626041919002418
ENSMUSG00000085125,-1.462305197220872
ENSMUSG00000025776,-0.12654789912161277
ENSMUSG00000099895,-1.7696448602291621
ENSMUSG00000109887,-2.6781356640835075
ENSMUSG00000025774,NaN
ENSMUSG00000067773,NaN
ENSMUSG00000089787,-1.6422342172767446
ENSMUSG00000042596,-1.051435616077502
ENSMUSG00000025927,2.1719383795348914
ENSMUSG00000043760,-0.60177517171603
ENSMUSG00000089914,-1.207689806986528
ENSMUSG00000099906,-1.1059919131130296
ENSMUSG00000041872,NaN
ENSMUSG00000041859,1.1188450096096902
ENSMUSG00000097934,-0.10901600963075579
ENSMUSG00000025931,4.159353030849989
ENSMUSG00000041809,0.9861837891134881
ENSMUSG00000041779,1.6922200321480756
ENSMUSG00000025933,2.132835681710989
ENSMUSG00000025934,-0.8359140432073872
ENSMUSG00000099343,-0.89390318202506
ENSMUSG00000041722,-0.5283397844540826
ENSMUSG00000085079,-0.777863233126124
ENSMUSG00000028033,-0.07242939016534233
ENSMUSG00000041670,-0.2540299754442657
ENSMUSG00000101227,-0.5983279005223063
ENSMUSG00000097970,NaN
ENSMUSG00000100775,1.5234081974233695
ENSMUSG00000026158,-0.13651603681364297
ENSMUSG00000099503,-1.0109755440768704
ENSMUSG00000026156,0.06868617675226157
ENSMUSG00000026155,-0.8981834351198704
ENSMUSG00000026154,1.107718056585621
ENSMUSG00000026153,-0.7511877298668375
ENSMUSG00000026147,4.234360770671793
ENSMUSG00000026141,4.585751578946979
ENSMUSG00000073725,0.07862557197981146
ENSMUSG00000099392,NaN
