Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000025790,Slco3a1,0.424619541953829,0.08490666664919733,1,0.3999567609084224,-0.08490666664919733,1
ENSMUSG00000085161,Gm7580,0.015865189447242092,0.20079946668496618,0.9168598301549524,0.013151382853855283,-0.20079946668496618,0.9168598301549524
ENSMUSG00000108468,Gm30459,0.0001289852800588788,-1.5834718422595948,1,0,1.5834718422595948,1
ENSMUSG00000108652,0610006L08Rik,0.0003869558401766364,-0.5834718422595948,1,0,0.5834718422595948,1
ENSMUSG00000108803,4930533N22Rik,0.0011608675205299092,-0.8465062480933909,0.8774289509038785,0.0015472215122182686,0.8465062480933909,0.8774289509038785
ENSMUSG00000053025,Sv2b,1.1873095029419793,2.4556038680193235,0.00000000003185072848257446,0.21583740095444848,-2.4556038680193235,0.00000000003185072848257446
ENSMUSG00000097247,1500012K07Rik,0.0009028969604121516,-1.1684343429807527,0.588441510021747,0.0015472215122182686,1.1684343429807527,0.588441510021747
ENSMUSG00000066406,Akap13,0.22108077002091828,-0.9841372240313042,0.0008439641472380294,0.4370900772016609,0.9841372240313042,0.0008439641472380294
ENSMUSG00000097415,AU020206,0.0011608675205299092,-5.546945966234483,0.00000000000000000000000012220082650107265,0.05956802822040334,5.546945966234483,0.00000000000000000000000012220082650107265
ENSMUSG00000055652,Klhl25,0.010447807684769184,-1.473847351085098,0.002953338310539224,0.02862359797603797,1.473847351085098,0.002953338310539224
ENSMUSG00000025754,Agbl1,0.04449992162031319,1.6032288719335428,0.001043951313116812,0.013924993609964418,-1.6032288719335428,0.001043951313116812
ENSMUSG00000059146,Ntrk3,2.507344859064545,2.277406355592086,0.00000000033852627247149294,0.5167719850809017,-2.277406355592086,0.00000000033852627247149294
ENSMUSG00000108788,4921513I08Rik,0.0015478233607065456,0.11696787588149604,1,0.0007736107561091343,-0.11696787588149604,1
ENSMUSG00000108390,Gm39038,0.0001289852800588788,-1.5834718422595948,1,0,1.5834718422595948,1
ENSMUSG00000052629,Gm9885,0.013672439686241154,-0.0899323693020353,1,0.013924993609964418,0.0899323693020353,1
ENSMUSG00000030612,Mrpl46,0.031085452494189793,-1.0396480363319265,0.007593600699228926,0.06343608200094901,1.0396480363319265,0.007593600699228926
ENSMUSG00000030611,Mrps11,0.03250429057483746,-0.7502253870699684,0.0769703929723272,0.0541527529276394,0.7502253870699684,0.0769703929723272
ENSMUSG00000108603,5330411O13Rik,0.0003869558401766364,-1.5834718422595948,0.6319610541059659,0.0007736107561091343,1.5834718422595948,0.6319610541059659
ENSMUSG00000030610,Det1,0.03727674593701597,-0.21091767430226582,0.7199907295461964,0.04254859158600239,0.21091767430226582,0.7199907295461964
ENSMUSG00000108791,1700011D18Rik,0.0007739116803532728,-1.776116920201991,0.2723512781445066,0.002320832268327403,1.776116920201991,0.2723512781445066
ENSMUSG00000030609,Aen,0.024120247371010338,-0.8868639857095308,0.03484201710918722,0.04409581309822066,0.8868639857095308,0.03484201710918722
ENSMUSG00000039236,Isg20,0.0010318822404710305,-4.168434342980752,0.0000004943351579488763,0.020113879658837493,4.168434342980752,0.0000004943351579488763
ENSMUSG00000097441,Gm26633,0.01612316000735985,2.808845580519163,0.00024598403150426505,0.0015472215122182686,-2.808845580519163,0.00024598403150426505
ENSMUSG00000030607,Acan,0.004385499522001879,-0.9136204439519275,0.3138772816700782,0.007736107561091343,0.9136204439519275,0.3138772816700782
ENSMUSG00000030606,Hapln3,0.0007739116803532728,-2.361079420923148,0.04562132773781535,0.0038680537805456717,2.361079420923148,0.04562132773781535
ENSMUSG00000030605,Mfge8,0.023604306250774823,-3.5275154362855807,0.000000000000000000000000000000000011627770067540746,0.2730845969065244,3.5275154362855807,0.000000000000000000000000000000000011627770067540746
ENSMUSG00000039202,Abhd2,0.36941384208862893,0.38514774310062827,0.4321630681495132,0.282367925979834,-0.38514774310062827,0.4321630681495132
ENSMUSG00000039194,Rlbp1,0.003998543681825243,-4.122630653367628,0.0000000000000000000000005309956262614455,0.07117218956204036,4.122630653367628,0.0000000000000000000000005309956262614455
ENSMUSG00000039187,Fanci,0.0016768086407654246,-1.776116920201992,0.10709755641774865,0.0054152752927639405,1.776116920201992,0.10709755641774865
ENSMUSG00000039176,Polg,0.14794611622753398,0.05787312835907876,1,0.14157076836797158,-0.05787312835907876,1
ENSMUSG00000097023,Mir9-3hg,0.535288912244347,-0.48606956273047863,0.16056297572446562,0.7496288226697512,0.48606956273047863,0.16056297572446496
ENSMUSG00000108616,Gm35040,0.03031154081383652,-0.1926818892274298,0.8119381812966571,0.03403887326880191,0.1926818892274298,0.8119381812966571
ENSMUSG00000108373,Gm45168,0.0002579705601177576,-3.320437436425804,0.02839816664803471,0.003094443024436537,3.320437436425804,0.02839816664803471
ENSMUSG00000108776,Gm45169,0.003482602561589728,-0.9460419216443041,0.33246365105940895,0.006188886048873074,0.9460419216443041,0.33246365105940895
ENSMUSG00000030549,Rhcg,0.0014188380806476669,-1.9985093415384414,0.037021299090701336,0.0054152752927639405,1.9985093415384414,0.037021299090701336
ENSMUSG00000046591,Ticrr,0.0015478233607065456,-1.8830321241185048,0.0739077325183611,0.0054152752927639405,1.8830321241185048,0.0739077325183611
ENSMUSG00000050382,Kif7,0.0029666614413542125,-2.805864263596045,0.0000014645479121044344,0.020887490414946627,2.805864263596045,0.0000014645479121044344
ENSMUSG00000039133,9330171B17Rik,0.0011608675205299092,-0.26154374737223307,1,0.0007736107561091343,0.26154374737223307,1
ENSMUSG00000030546,Plin1,0.0003869558401766364,-3.1684343429807518,0.024521896962057064,0.0038680537805456717,3.1684343429807518,0.024521896962057064
ENSMUSG00000030545,Pex11a,0.009286940164239274,-2.3005378789880986,0.000000014268646487246,0.04564303461043892,2.3005378789880986,0.000000014268646487246
ENSMUSG00000108425,Gm44706,0,-4.905399937146958,0.006882693007938948,0.003094443024436537,4.905399937146958,0.006882693007938948
ENSMUSG00000039099,Wdr93,0.002708690881236455,-1.1240402236222993,0.2689278795904786,0.0054152752927639405,1.1240402236222993,0.2689278795904786
ENSMUSG00000030544,Mesp1,0.0001289852800588788,-1.5834718422595948,1,0,1.5834718422595948,1
ENSMUSG00000030543,Mesp2,0.0012898528005887882,-0.7090027243434562,0.8966676642131222,0.0015472215122182686,0.7090027243434562,0.8966676642131222
ENSMUSG00000039062,Anpep,0.0001289852800588788,-5.168434342980752,0.000006875548319417881,0.008509718317200477,5.168434342980752,0.000006875548319417881
ENSMUSG00000063801,Ap3s2,0.19438081704873036,-0.0023310524908488617,1,0.1941762997833927,0.0023310524908488617,1
ENSMUSG00000097685,Gm26646,0.002063764480942061,0.5039909989907443,0.7373061158405064,0.0007736107561091343,-0.5039909989907443,0.7373061158405064
ENSMUSG00000097699,5430400D12Rik,0.08384043203827123,2.515114377462454,0.0000000533378633176973,0.013924993609964418,-2.515114377462454,0.0000000533378633176973
ENSMUSG00000039043,Arpin,0.024120247371010338,-0.11634583183229807,0.9334462289369704,0.02552915495160143,0.11634583183229807,0.9334462289369704
ENSMUSG00000048897,Zfp710,0.12730847141811338,-2.1329564476260363,0.000000000000004928989491605456,0.558546965910795,2.1329564476260363,0.000000000000004928989491605456
ENSMUSG00000108714,Gm21057,0.008384043203827123,-2.445968318509662,0.000000015883759888547793,0.04564303461043892,2.445968318509662,0.000000015883759888547793
ENSMUSG00000108655,Gm44949,0.0016768086407654246,-1.0980450150893546,0.5259978820284391,0.003094443024436537,1.0980450150893546,0.5259978820284391
ENSMUSG00000030541,Idh2,0.0700390070719712,-0.9717424319756547,0.00259147367756782,0.13692910383131676,0.9717424319756547,0.00259147367756782
ENSMUSG00000108757,Gm45202,0.0001289852800588788,-1.5834718422595948,1,0,1.5834718422595948,1
ENSMUSG00000030539,Sema4b,0.06475061058955717,-1.1559517123417065,0.0002836605040424768,0.14389160063629897,1.1559517123417065,0.0002836605040424768
ENSMUSG00000030538,Cib1,0.007610131523473849,-2.431468748814546,0.000000031768470992009976,0.04100137007378412,2.431468748814546,0.000000031768470992009976
ENSMUSG00000050973,Gdpgp1,0.021024600649597245,0.25051820630147414,0.8161742728291089,0.017019436634400954,-0.25051820630147414,0.8161742728291089
ENSMUSG00000045467,Ttll13,0.005546367042531789,-0.5834718422595966,0.607867649698506,0.007736107561091343,0.5834718422595966,0.607867649698506
ENSMUSG00000047084,Ngrn,0.09209548996203946,-0.13509541213129506,0.8105883377882012,0.10056939829418746,0.13509541213129506,0.8105883377882012
ENSMUSG00000030534,Vps33b,0.07752015331538616,-0.008063648251689592,1,0.07736107561091343,0.008063648251689592,1
ENSMUSG00000038930,Rccd1,0.06139699330802631,-0.5185164004188265,0.1936720374069579,0.08741801544033218,0.5185164004188265,0.1936720374069579
ENSMUSG00000038943,Prc1,0.019734747849008458,-0.9016478022858516,0.049018311660896555,0.03635970553712931,0.9016478022858516,0.049018311660896555
ENSMUSG00000030533,Unc45a,0.13427367654129282,0.6087777058541697,0.17427888134829125,0.08741801544033218,-0.6087777058541697,0.17427888134829125
ENSMUSG00000030532,Hddc3,0.01509127776688882,-1.4557162950612232,0.0003657933438736021,0.04100137007378412,1.4557162950612232,0.0003657933438736021
ENSMUSG00000038886,Man2a2,0.3407791099155578,-0.13139051145379965,0.7766575394498694,0.37288038444460275,0.13139051145379965,0.7766575394498694
ENSMUSG00000053158,Fes,0.0016768086407654246,-4.33070577187963,0.00000000000003605743313145331,0.03558609478102018,4.33070577187963,0.00000000000003605743313145331
ENSMUSG00000030530,Furin,0.046176730261078616,-0.8098773261026677,0.03301865804117254,0.08045551863534997,0.8098773261026677,0.03301865804117254
ENSMUSG00000108436,Gm44851,0.0007739116803532728,-0.7761169202019911,0.8248687431147321,0.0007736107561091343,0.7761169202019911,0.8248687431147321
ENSMUSG00000030528,Blm,0.06423466946932165,0.31333497261989196,0.6459567352863912,0.05105830990320286,-0.31333497261989196,0.6459567352863912
ENSMUSG00000030527,Crtc3,0.358708063843742,0.016084518868834774,1,0.3543137262979835,-0.016084518868834774,1
ENSMUSG00000084821,Gm15880,0.007223175683297213,0.07949317046283255,1,0.006188886048873074,-0.07949317046283255,1
ENSMUSG00000030536,Iqgap1,0.23578509194763045,0.2590140806302621,0.6827362107833422,0.19649713205172012,-0.2590140806302621,0.6827362107833422
ENSMUSG00000108321,Gm44649,0.023991262090951457,0.5039909989907425,0.44084194386129905,0.01624582587829182,-0.5039909989907425,0.44084194386129905
ENSMUSG00000038797,Zscan2,0.013414469126123396,-0.26154374737223396,0.7831041089852094,0.015472215122182687,0.26154374737223396,0.7831041089852094
ENSMUSG00000025722,Wdr73,0.10473604740780959,0.5290508481377936,0.26814090407498875,0.07194580031814948,-0.5290508481377936,0.26814090407498875
ENSMUSG00000025723,Nmb,0.015349248327006577,0.738456252627766,0.3099473125491408,0.008509718317200477,-0.738456252627766,0.3099473125491408
ENSMUSG00000025724,Sec11a,0.2045706541733818,0.009695581283283072,1,0.2026860181005932,-0.009695581283283072,1
ENSMUSG00000109008,Gm44899,0.08306652035791795,0.2261215519940074,0.7776340130511247,0.07039857880593123,-0.2261215519940074,0.7776340130511247
ENSMUSG00000005621,Zfp592,0.1363374410222349,-0.40671264972897525,0.2689278795904786,0.1802513061734283,0.40671264972897525,0.2689278795904786
ENSMUSG00000038763,Alpk3,0.0025797056011775763,0.808845580519165,0.5837822105624729,0.0007736107561091343,-0.808845580519165,0.5837822105624729
ENSMUSG00000025726,Slc28a1,0.003353617281530849,2.1714156599038734,0.13385818464994062,0,-2.1714156599038734,0.13385818464994062
ENSMUSG00000025584,Pde8a,0.029666614413542125,-5.121891757043723,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005942317055375805,1.037412023942349,5.121891757043723,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005942317055375805
ENSMUSG00000061787,Rps17,0.15800696807212652,-2.162932366665759,0.000000000000000024000548722045483,0.7078538418398579,2.162932366665759,0.000000000000000024000548722045483
ENSMUSG00000025586,Cpeb1,0.31743277422490074,0.4106801763204859,0.3909028225937388,0.23827211288161337,-0.4106801763204859,0.3909028225937388
ENSMUSG00000062444,Ap3b2,0.29911686445653995,1.0650557872390256,0.004778191872134732,0.1423443791240807,-1.0650557872390256,0.004778191872134732
ENSMUSG00000097277,2900076A07Rik,0.08899984324062638,-0.49965809610241596,0.173574145195001,0.12532494248967976,0.49965809610241596,0.173574145195001
ENSMUSG00000038663,Fsd2,0.004643470082119637,0.041019022648197456,1,0.0038680537805456717,-0.041019022648197456,1
ENSMUSG00000045795,Whamm,0.12705050085799563,0.1622996492819504,0.8965192681130065,0.11294717039193361,-0.1622996492819504,0.8965192681130065
ENSMUSG00000025813,Homer2,0.22430540202239024,0.20411982497657766,0.8032221007009883,0.1941762997833927,-0.20411982497657766,0.8032221007009883
ENSMUSG00000038646,Ramac,0.056108596825612284,-1.014959862319035,0.002538390786214193,0.11294717039193361,1.014959862319035,0.002538390786214193
ENSMUSG00000025102,3110040N11Rik,0.03701877537689822,0.19413573640395576,0.8594880374715488,0.031718041000474505,-0.19413573640395576,0.8594880374716353
ENSMUSG00000109485,Gm45016,0.0009028969604121516,-0.5834718422595948,0.8021931694478307,0.0007736107561091343,0.5834718422595948,0.8021931694478307
ENSMUSG00000025103,Btbd1,0.3492921383994438,-0.24332224534609148,0.5240676093802591,0.4131081437622777,0.24332224534609148,0.5240676093802591
ENSMUSG00000066378,Gm10160,0.002063764480942061,-0.8179370958966192,0.6061475486649425,0.003094443024436537,0.8179370958966192,0.6061475486649425
ENSMUSG00000038623,Tm6sf1,0.16161855591377514,0.07222516999879325,1,0.15317492970960858,-0.07222516999879325,1
ENSMUSG00000109110,Gm45014,0.0010318822404710305,-1.9985093415384396,0.1497751606480456,0.0038680537805456717,1.9985093415384396,0.1497751606480456
ENSMUSG00000025104,Hdgfl3,0.5886888181887229,0.4436442856670213,0.3221482437746022,0.43244841266500605,-0.4436442856670213,0.3221482437746022
ENSMUSG00000025105,Bnc1,0.0001289852800588788,-1.5834718422595948,1,0,1.5834718422595948,1
ENSMUSG00000109145,Gm20744,0.0002579705601177576,-0.9985093415384405,1,0,0.9985093415384405,1
ENSMUSG00000030638,Sh3gl3,0.20740833033467712,-0.3409141676738521,0.35469251482923536,0.2622540463209965,0.3409141676738521,0.35469251482923536
ENSMUSG00000070469,Adamtsl3,0.005804337602649546,-4.674619730317792,0.0000000000000000000000008205656673076159,0.1508540974412812,4.674619730317792,0.0000000000000000000000008205656673076159
ENSMUSG00000038570,Saxo2,0.02605502657189352,0.22388307979800803,0.8567518397378825,0.021661101171055762,-0.22388307979800803,0.8567518397378825
ENSMUSG00000038563,Efl1,0.1772257748008995,0.3579282837755313,0.49976977370243414,0.13770271458742592,-0.3579282837755313,0.49976977370243414
ENSMUSG00000086690,4933406J10Rik,0.003869558401766364,0.7857619674061214,0.5509269527617302,0.0015472215122182686,-0.7857619674061214,0.5509269527617302
ENSMUSG00000030636,1700010L04Rik,0.0005159411202355152,-1.261543747372233,0.7572446765361117,0.0007736107561091343,1.261543747372233,0.7572446765361117
ENSMUSG00000109383,Gm36584,0.003353617281530849,-0.41354684081728355,0.846523399446924,0.0038680537805456717,0.41354684081728355,0.846523399446924
ENSMUSG00000057706,Mex3b,0.03134342305430755,0.3028713759448367,0.7153967550042459,0.024755544195492297,-0.3028713759448367,0.7153967550042459
ENSMUSG00000053528,A530021J07Rik,0.0011608675205299092,0.7384562526277669,0.8424782514226777,0,-0.7384562526277669,0.8424782514226777
ENSMUSG00000108861,5930435M05Rik,0.0009028969604121516,0.4165281577404052,0.8277796453256584,0,-0.4165281577404052,0.8277796453256584
ENSMUSG00000109506,Gm44724,0.007481146243414971,3.299171207102246,0.0037966769630665537,0,-3.299171207102246,0.0037966769630665537
ENSMUSG00000094841,Gm10610,0.0010318822404710305,0.5864531591827173,0.8319705196700565,0,-0.5864531591827173,0.8319705196700565
ENSMUSG00000038540,Tmc3,0.002063764480942061,-2.3033639230668603,0.0048759921374825965,0.010056939829418746,2.3033639230668603,0.0048759921374825965
ENSMUSG00000087088,Gm16638,0.08035782947668149,0.2424987579653548,0.7513933725780222,0.06730413578149469,-0.2424987579653548,0.7513933725780222
ENSMUSG00000046027,Stard5,0.10035054788580772,-0.14791732564023974,0.7795816676959669,0.1106263381236062,0.14791732564023974,0.7795816676959669
ENSMUSG00000001741,Il16,0.0036115878416486066,-2.0474189420193873,0.003114061421183918,0.014698604366073552,2.0474189420193873,0.003114061421183918
ENSMUSG00000011154,Cfap161,0.0018057939208243033,-0.9985093415384405,0.5902180130032199,0.003094443024436537,0.9985093415384405,0.5902180130032199
ENSMUSG00000109248,Gm44993,0.011995631045475729,3.971117009418042,0.00009725162693838326,0,-3.971117009418042,0.00009725162693838326
ENSMUSG00000109450,Gm39043,0.03031154081383652,3.299171207102246,0.0000004810713554635838,0.002320832268327403,-3.299171207102246,0.0000004810713554635838
ENSMUSG00000070462,Tlnrd1,0.025668070731716883,-1.3146550838317967,0.00022949280694690375,0.06343608200094901,1.3146550838317967,0.00022949280694690375
ENSMUSG00000038503,Mesd,0.06049409634761416,-0.6956395824667627,0.057606004617618084,0.09747495526975092,0.6956395824667627,0.057606004617618084
